Radius_km,Mass_sol,Central_Pressure_MeV_fm3,Particles_fm_3,is_stable
0.0019294835092851,2.3577639459342963e-12,1.511127806803505e-07,3.035871159941991e+45,True
0.0019293841210373,2.358066304548223e-12,1.7220603837009025e-07,3.036259942967891e+45,True
0.0019292953699751,5.3190106177870415e-12,1.962436235876052e-07,6.848785487096379e+45,True
0.0019292219259792,5.3184730047902706e-12,2.236365238019586e-07,6.848093173577563e+45,True
0.0019291601017857,2.357463962426219e-12,2.548530946581887e-07,3.035484383485865e+45,True
0.0019291069369659,2.357786720856356e-12,2.904270677823369e-07,3.035899528909633e+45,True
0.0032529165815797,7.702889493420139e-12,3.309666763664437e-07,9.918284847594454e+45,True
0.0034876782924356,9.152526709540648e-12,3.77165054556845e-07,1.1784845014546383e+46,True
0.003700747715052,1.06146394208553e-11,4.2981208845767044e-07,1.3667468569927835e+46,True
0.0061647965696944,3.989450966663636e-11,4.898079213659437e-07,5.136840288587115e+46,True
0.0061647965696944,3.9904861822336055e-11,5.581783441541149e-07,5.138172250316693e+46,True
0.0061647965696944,3.991045574300687e-11,6.36092333937665e-07,5.138891992885395e+46,True
0.0061647965696944,3.9914479933603727e-11,7.248820408952564e-07,5.139409765872633e+46,True
0.0061647965696944,3.991771662400976e-11,8.260655649784035e-07,5.139826215020951e+46,True
0.0061647965696944,3.9920481762199245e-11,9.413729119302426e-07,5.140181991828448e+46,True
0.0061647965696944,3.9922934799675245e-11,1.0727755724068511e-06,5.140497612148225e+46,True
0.0061647965696944,3.992516750499775e-11,1.222520229940972e-06,5.140784883396202e+46,True
0.0061647965696944,3.992723752747994e-11,1.393167174063558e-06,5.141051223030055e+46,True
0.0061647965696944,3.9929183427315176e-11,1.587634075375083e-06,5.141301592402761e+46,True
0.0061647965696944,3.99310322409896e-11,1.8092458710022112e-06,5.141539470167677e+46,True
0.0061647965696944,3.993280363203137e-11,2.061791613389577e-06,5.141767386335491e+46,True
0.0061647965696944,3.993451232480552e-11,2.34958925438234e-06,5.141987235418658e+46,True
0.0078978505857046,1.723158426419184e-10,2.677559472284898e-06,2.2187478204399117e+47,True
0.0097374775310067,3.197478768802077e-10,3.051309804150655e-06,4.117091493769193e+47,True
0.009737160184054,3.1985645592286607e-10,3.477230521779783e-06,4.118488236990175e+47,True
0.0097368899451378,3.1988021746487897e-10,3.962603890675481e-06,4.1187937180913315e+47,True
0.0097366465409373,3.1989027565146005e-10,4.51572868006803e-06,4.118922909535233e+47,True
0.0086587997800698,3.7913087573381605e-10,5.146062052776818e-06,4.881708137300311e+47,True
0.0091597542860546,4.3136586104231224e-10,5.864381260970179e-06,5.5542880757307015e+47,True
0.0097504476324188,5.280288923629863e-10,6.682967912421037e-06,6.7989260202238345e+47,True
0.0097159510682199,6.421149368919991e-10,7.615817957758829e-06,8.26790358143937e+47,True
0.0104261413139938,7.810004376886353e-10,8.678880989076631e-06,1.0056199992644912e+48,True
0.0110494101715445,7.664954564239396e-10,9.890332941300425e-06,9.869432787500745e+47,True
0.0099645016262131,5.229295454522983e-10,1.1270886858897796e-05,6.733268088677224e+47,True
0.0099640883875904,5.230703803572348e-10,1.2844147041366472e-05,6.7350796932010956e+47,True
0.0102425790057498,5.720119902432395e-10,1.4637012622477452e-05,7.365253718791434e+47,True
0.0094732819432428,6.78667055204799e-10,1.6680137483690474e-05,8.738549354764695e+47,True
0.0097172590898914,8.426995090440862e-10,1.9008454365020663e-05,1.0850639152039589e+48,True
0.0117210543061278,1.1308654310198082e-09,2.166177213469806e-05,1.4561077435263981e+48,True
0.0115493514304155,1.2909119725176302e-09,2.468545642926231e-05,1.6621843652269106e+48,True
0.0138543826613836,1.9316066239385394e-09,2.813120530176529e-05,2.487145711566365e+48,True
0.0137917532733484,2.1767968571014634e-09,3.205793313962748e-05,2.8028537293905245e+48,True
0.0162060378080512,3.294577312791988e-09,3.653277796526365e-05,4.242113348675612e+48,True
0.0148969011875524,3.129508192480346e-09,4.163224934199781e-05,4.02956933409391e+48,True
0.01618497309774,3.6966021338013524e-09,4.744353651188879e-05,4.759762044665277e+48,True
0.0198565776893675,6.024280842647871e-09,5.406599913121701e-05,7.756893246320629e+48,True
0.0208414110707947,7.0337259179691e-09,6.161286609235934e-05,9.056659126171886e+48,True
0.0196748551211969,7.223271560454071e-09,7.021317147774837e-05,9.300718606370725e+48,True
0.0218268260243391,8.622373884091915e-09,8.001396074604489e-05,1.1102209110474087e+49,True
0.0239758757595565,1.1814739267235066e-08,9.118280487153363e-05,1.5212716065642256e+49,True
0.0243397930708788,1.2954873721775338e-08,0.0001039106654229,1.668075788613276e+49,True
0.0263983584180241,1.6487362755355653e-08,0.0001184151595669,2.122920938563769e+49,True
0.0280262870304916,1.8859101829786297e-08,0.0001349442808224,2.428307263160982e+49,True
0.0293314297262722,2.277205948057557e-08,0.0001537806391789,2.932141729350471e+49,True
0.0320070153993832,2.979389622515003e-08,0.0001752462930785,3.8362776332478876e+49,True
0.0331091272694455,3.3981450363219927e-08,0.000199708255875,4.37546927270589e+49,True
0.0357839553451589,4.1077710467573264e-08,0.0002275847709187,5.289187866008818e+49,True
0.037742166087162,5.020100191601837e-08,0.0002593524625569,6.463908573173335e+49,True
0.03980876104391,6.046869774062468e-08,0.0002955544853147,7.785983755635617e+49,True
0.0424914801736861,7.345779466101485e-08,0.0003368098105891,9.45846902335443e+49,True
0.0451424749803004,8.979374131690556e-08,0.0003838238096379,1.156189715695435e+50,True
0.0486798922600359,1.0896616699675365e-07,0.0004374003138071,1.4030553487691491e+50,True
0.0521394027726213,1.32521919532062e-07,0.0004984553581994,1.7063611629008554e+50,True
0.0552646366897022,1.619302635779765e-07,0.00056803284377,2.085025681759265e+50,True
0.0586792519357008,1.960164460306872e-07,0.0006473223856334,2.5239225618997063e+50,True
0.062713123579001,2.3803478360355106e-07,0.0007376796527487,3.0649550201332966e+50,True
0.0671512098091848,2.929271955473201e-07,0.0008406495467432,3.7717559688046535e+50,True
0.0716058487875433,3.5640733503473737e-07,0.0009579926161808,4.589134188822023e+50,True
0.0761331074447171,4.284679299442523e-07,0.0010917151578938,5.516996073521575e+50,True
0.0813160220814125,5.214059255744982e-07,0.0012441035200535,6.7136795719905235e+50,True
0.0868425199569023,6.379946633799148e-07,0.0014177631934636,8.214895455942995e+50,True
0.0922832698865619,7.712459505094591e-07,0.0016156633594725,9.930663395978758e+50,True
0.0984898777095248,9.380192882723608e-07,0.001841187656146,1.207807078560958e+51,True
0.1061974174479312,1.1426609973777976e-06,0.0020981920307026,1.4713083880832603e+51,True
0.1124454117435807,1.391885518015574e-06,0.0023910706673524,1.7922162128082962e+51,True
0.1200301589636076,1.688582008025564e-06,0.0027248311177508,2.1742510436084733e+51,True
0.127886321393625,2.053442358151621e-06,0.003105179918618,2.644056852988816e+51,True
0.1364925993743581,2.4980293601426e-06,0.0035386201604117,3.216523030211655e+51,True
0.1457721702462064,3.038566930784334e-06,0.0040325626752272,3.9125409970158745e+51,True
0.1555089967649589,3.695592547417048e-06,0.0045954527449849,4.7585571146121466e+51,True
0.1661448679009139,4.501764285505224e-06,0.0052369144963626,5.796625352790032e+51,True
0.1773550253256726,5.4748790066296845e-06,0.0059679154512335,7.04966449962997e+51,True
0.1897522005775757,6.655211709807369e-06,0.006800954046095,8.56953868226497e+51,True
0.2020182071181585,8.092634183477439e-06,0.0077502733265964,1.0420470966272785e+52,True
0.2156031788012825,9.845341330714632e-06,0.0088321044709034,1.267740488994858e+52,True
0.2305860171607883,1.1977143767404358e-05,0.0100649443055562,1.5422518077346886e+52,True
0.2456532845759101,1.4561202752454725e-05,0.0114698715586538,1.8750033571001424e+52,True
0.2621864392131811,1.7715451093320645e-05,0.0130709072577273,2.2811833473092405e+52,True
0.2799272550296638,2.1545144623007016e-05,0.0148954254340398,2.774348439287277e+52,True
0.2987390337524251,2.621027597071645e-05,0.0169746211556952,3.3751051748418017e+52,True
0.3188894530922057,3.188094972364433e-05,0.0193440438915565,4.105363986437265e+52,True
0.340690211204985,3.878230863892143e-05,0.0220442053254714,4.994125314287427e+52,True
0.3633389656823839,4.716646006566907e-05,0.0251212720130381,6.073865382382994e+52,True
0.3878666897491096,5.737021124568144e-05,0.0286278547234944,7.387972795749095e+52,True
0.4140360168037658,6.97951970563855e-05,0.0326239079631228,8.988191499551765e+52,True
0.441903222901147,8.48711947919199e-05,0.0371777550593878,1.0929898344495402e+53,True
0.4719375618500551,0.0001032348089572,0.042367256332947,1.329512023809169e+53,True
0.5035623322316397,0.0001255794093994,0.0482811403301719,1.617321255875273e+53,True
0.537466693691462,0.0001527044675144,0.055020520877268,1.9667219475435838e+53,True
0.5736787766314615,0.0001857238446959,0.062700625894606,2.392071353441633e+53,True
0.6123386782776948,0.0002258752254738,0.0714527675290932,2.9093262918040515e+53,True
0.6536430487327607,0.000274730649733,0.0814265872904187,3.5387570538300144e+53,True
0.6976835569643877,0.0003341026462969,0.0927926145766586,4.303740713989588e+53,True
0.7446622890771931,0.000406266405435,0.1057451823353323,5.233627129789557e+53,True
0.7948007267209869,0.0004940213246621,0.1205057497102521,6.36453720569644e+53,True
0.8483323334808488,0.0006007332688855,0.1373266884838296,7.739914612353947e+53,True
0.9054564558080266,0.0007304181937903,0.156495598054772,9.411612807211084e+53,True
0.966376038564955,0.000888068202458,0.1783402227265778,1.1444111106642003e+54,True
1.031491882896751,0.001079686169246,0.2032340553822509,1.3914979853136347e+54,True
1.1007545564139014,0.0013125051137015,0.2316027233547971,1.6917733916777855e+54,True
1.1747369026821597,0.0015954179478143,0.2639312656749628,2.0567410124260997e+54,True
1.2536516725127769,0.0019390903965019,0.300772426125946,2.5002072653285168e+54,True
1.3378201762931283,0.0023565853341667,0.3427561038909154,3.039093527340808e+54,True
1.427571286958246,0.0028635155451256,0.3906001233811309,3.693642527597695e+54,True
1.523108920047285,0.0034779868049761,0.4451225073847721,4.4873564942632604e+54,True
1.6247420169059053,0.0042221315956634,0.5072554633762034,5.448993834783416e+54,True
1.7329057624137014,0.0051230440415822,0.5780613221218048,6.61380084768965e+54,True
1.8478718645067849,0.006213774828811,0.658750701094731,8.024830838573698e+54,True
1.9702187546272227,0.0075337405045571,0.7507032032517806,9.733517436585828e+54,True
2.1003057511307857,0.0091298041793145,0.8554910050736171,1.1801131254734083e+55,True
2.2383815023871745,0.0110562146496959,0.9749057371697698,1.42987756487623e+55,True
2.384976546068015,0.0133806482258014,1.1109891170448043,1.7315324018543432e+55,True
2.540519359942655,0.0161830108599044,1.266067857775936,2.0956019140643473e+55,True
2.7052905150855686,0.0195545689902519,1.4427934494597896,2.534152443370315e+55,True
2.879789595364453,0.0236081185161086,1.6441874935999483,3.0621401423661513e+55,True
3.064297593351056,0.0284710221044371,1.8736933655490784,3.6965388849325313e+55,True
3.2592562725780763,0.0342969292296858,2.1352350883145848,4.457911742174022e+55,True
3.4648567777949606,0.0412597632215438,2.4332844243346723,5.36968414067138e+55,True
3.68138043792657,0.0495625908265244,2.772937332339968,6.459377383650267e+55,True
3.908978596942604,0.0594371900355951,3.1600010965373087,7.758647712046504e+55,True
4.147757721958388,0.0711477939010611,3.6010936178245667,9.303899136290797e+55,True
4.397686342905043,0.0849889839331591,4.103756564688196,1.1136154750426169e+56,True
4.658602188468875,0.1012885791661399,4.676584318403542,1.330161947887661e+56,True
4.93022182670474,0.1204045349422417,5.329370917204891,1.585148735118205e+56,True
