Radius_km,Mass_sol,Central_Pressure_MeV_fm3,Particles_fm_3,is_stable
5.525237591334763e-05,3.7064356024407724e-13,2.0823828206240697e-05,2.0671715484826537e+44,True
5.530800195989486e-05,3.747443529838595e-13,2.477065306439041e-05,2.0900426920973127e+44,True
5.538123075131236e-05,3.787686462701685e-13,2.9465535691103364e-05,2.1124871791812336e+44,True
5.5406665526829086e-05,3.830138926559655e-13,3.5050258517883395e-05,2.1361639768030708e+44,True
5.541585888760223e-05,3.874464194318888e-13,4.169347657715855e-05,2.1608852838654194e+44,True
5.548922669329563e-05,3.919262278644427e-13,4.959581077563692e-05,2.1858702925177225e+44,True
5.565859267570584e-05,3.979695443658749e-13,5.899590651647168e-05,2.2195753755918817e+44,True
5.570015122171476e-05,4.022726788277002e-13,7.017764063673748e-05,2.243575029448359e+44,True
5.578398596743138e-05,4.080644388601614e-13,8.34786943050719e-05,2.2758771193606518e+44,True
5.59453600558109e-05,4.143615762289967e-13,9.93007507754756e-05,2.3109978247155748e+44,True
5.6139610771850704e-05,4.21933655414565e-13,0.0001181216259628,2.3532291985446306e+44,True
5.62098637864812e-05,4.280769768321702e-13,0.000140509698176,2.387492033982722e+44,True
5.640182697769076e-05,4.3597905070491453e-13,0.0001671410727762,2.431563870486485e+44,True
5.6662938430099614e-05,4.4547465169281117e-13,0.0001988200001242,2.4845232051332517e+44,True
5.696535127927397e-05,4.556792681296186e-13,0.0002365031634223,2.541436895771269e+44,True
5.7176277331282094e-05,4.656584984745234e-13,0.0002813285699317,2.5970935519720783e+44,True
5.775645272787944e-05,4.781326232170998e-13,0.0003346499180583,2.6666648564597606e+44,True
5.804715880938203e-05,4.932655734377693e-13,0.000398077478173,2.7510650937642184e+44,True
5.848428341786108e-05,5.087227707863541e-13,0.0004735267217397,2.8372737381896408e+44,True
5.8966737517317885e-05,5.26814440473687e-13,0.0005632761673196,2.9381754919171176e+44,True
5.96767068900118e-05,5.486139330413193e-13,0.0006700361903644,3.0597566986314616e+44,True
6.054286554066026e-05,5.729375465281505e-13,0.0007970308748095,3.1954155572932077e+44,True
6.121141670077573e-05,6.019096909637529e-13,0.0009480953783319,3.3570004325065403e+44,True
6.21688591033866e-05,6.357530773540044e-13,0.0011277917516422,3.5457534391358038e+44,True
6.334026114300822e-05,6.75603116024931e-13,0.0013415467094776,3.768007043805673e+44,True
6.462735722503078e-05,7.228949173362902e-13,0.0015958155138922,4.0317652150041756e+44,True
6.61412232461327e-05,7.789864597671248e-13,0.0018982769190129,4.344601737515853e+44,True
6.78320485184628e-05,8.458172177056238e-13,0.0022580650644686,4.717333543895016e+44,True
6.979150475656406e-05,9.26290321556731e-13,0.0026860453205241,5.1661521167383725e+44,True
7.19585549163205e-05,1.0231172477672158e-12,0.0031951424152641,5.7061800368154454e+44,True
7.44497986111934e-05,1.1403227673612725e-12,0.0038007307530565,6.359864456487445e+44,True
7.7302276128424e-05,1.2823338394440948e-12,0.0045210987116628,7.151895631577956e+44,True
8.04455425601378e-05,1.456327829275377e-12,0.005378000939467,8.122303519470594e+44,True
