Radius_km,Mass_sol,Central_Pressure_MeV_fm3,Particles_fm_3,is_stable
303.43750058524944,0.0012932352784393,1.3014892628900375e-10,1.442543679987801e+55,True
303.4366768140188,0.0014104529304015,1.5481658165243868e-10,1.573294958606418e+55,True
302.71583107727434,0.0015382933271218,1.841595980693948e-10,1.715895540236423e+55,True
303.722737408451,0.0016778041974649,2.1906411573676971e-10,1.871514145708401e+55,True
302.6197207785959,0.0018298338616009,2.6058422860724237e-10,2.041097068759073e+55,True
302.6567446467982,0.0019957202036593,3.099738173477305e-10,2.226136697769424e+55,True
302.3955637719628,0.0021766109665974,3.6872441572794925e-10,2.4279133337181154e+55,True
302.5141567784939,0.0023739356122042,4.3861025397961264e-10,2.648021532484513e+55,True
302.6335477666494,0.0025891562205499,5.21741839406698e-10,2.888092244812598e+55,True
303.55473662071785,0.0028239331723476,6.206296923467222e-10,3.1499776307557567e+55,True
304.5928525339829,0.0030798219025155,7.382601622679873e-10,3.435412801264803e+55,True
302.1864761327154,0.00335899972713,8.781856136001082e-10,3.74682657156644e+55,True
303.1536893259217,0.0036635100230466,1.0446317048518375e-09,4.0864983733478716e+55,True
302.5864458793197,0.0039956193028431,1.2426250007763987e-09,4.456956563423027e+55,True
302.2357401101624,0.0043577764746898,1.4781447713895914e-09,4.860932984291025e+55,True
302.3860154957723,0.0047528095439707,1.7583035620732339e-09,5.301582385615777e+55,True
302.43319347925234,0.0051836391533716,2.091561987864697e-09,5.782162893040471e+55,True
302.85001058824844,0.0056535548276839,2.487984238581847e-09,6.30634416042468e+55,True
302.180052085542,0.0061659360945609,2.959542010873515e-09,6.877896295747872e+55,True
302.1052915687016,0.0067247999861514,3.5204760457476955e-09,7.501300600500319e+55,True
302.25883845872823,0.0073343541070603,4.187726189778041e-09,8.181251040215287e+55,True
302.3208065091313,0.0079991393108206,4.981442967559887e-09,8.922813413302558e+55,True
302.4155028305967,0.0087241776478442,5.925596114574769e-09,9.73159040527333e+55,True
302.2765814183899,0.0095148497320769,7.048698447763895e-09,1.0613584815663256e+56,True
302.35626183315543,0.0103771755346754,8.384666934235452e-09,1.1575512810863644e+56,True
302.16922934555555,0.0113176667812638,9.973846961826536e-09,1.2624639307930057e+56,True
302.12845794433866,0.0123433433415825,1.1864230743830637e-08,1.3768796295924e+56,True
302.21650615655216,0.0134619741469994,1.4112906652928805e-08,1.501665162940522e+56,True
302.02867206661665,0.0146818774840913,1.678778325327606e-08,1.6377486308850193e+56,True
302.0980881616915,0.0160123375956958,1.9969640095400825e-08,1.7861659275730018e+56,True
302.1727035139824,0.0174633023327761,2.375456720660349e-08,1.9480270215496617e+56,True
302.15584919568016,0.019045629340564,2.8256866947892684e-08,2.124543427872707e+56,True
302.14132883058244,0.0207713087504314,3.3612505871668764e-08,2.3170530618916226e+56,True
302.09201245048746,0.0226532049835184,3.998322082403494e-08,2.5269914494750043e+56,True
302.1024279642353,0.0247055111700523,4.7561403293379984e-08,2.755942436025416e+56,True
302.2303885991195,0.0269436473151032,5.6575909509414234e-08,3.0056268454191143e+56,True
302.0830136572024,0.0293842806552883,6.729897175390873e-08,3.2779047729915863e+56,True
302.0375851508667,0.0320458371051496,8.005441960026736e-08,3.57483266913235e+56,True
302.03980575852694,0.0349482686258228,9.522745935807597e-08,3.89863741915125e+56,True
302.1144128011604,0.0381133298864195,1.1327630705555405e-07,4.251747245600997e+56,True
