Radius_km,Mass_sol,Central_Pressure_MeV_fm3,Particles_fm_3
5.525237591334763e-05,3.706435602440772e-13,2.0823828206240697e-05,2.0671715484826537e+44
5.530800195989486e-05,3.747443529838595e-13,2.477065306439041e-05,2.0900426920973127e+44
5.5381230751312356e-05,3.787686462701685e-13,2.9465535691103364e-05,2.1124871791812336e+44
5.5406665526829086e-05,3.830138926559655e-13,3.5050258517883395e-05,2.1361639768030708e+44
5.5415858887602225e-05,3.8744641943188877e-13,4.169347657715855e-05,2.1608852838654194e+44
5.548922669329563e-05,3.919262278644427e-13,4.959581077563692e-05,2.1858702925177225e+44
5.565859267570584e-05,3.979695443658749e-13,5.899590651647168e-05,2.219575375591882e+44
5.5700151221714755e-05,4.022726788277002e-13,7.017764063673748e-05,2.243575029448359e+44
5.578398596743138e-05,4.0806443886016136e-13,8.34786943050719e-05,2.275877119360652e+44
5.59453600558109e-05,4.1436157622899663e-13,9.93007507754756e-05,2.3109978247155748e+44
5.6139610771850704e-05,4.2193365541456494e-13,0.00011812162596287705,2.353229198544631e+44
5.62098637864812e-05,4.2807697683217017e-13,0.00014050969817601595,2.387492033982722e+44
5.640182697769076e-05,4.359790507049145e-13,0.00016714107277629445,2.431563870486485e+44
5.6662938430099614e-05,4.4547465169281107e-13,0.00019882000012422555,2.4845232051332517e+44
5.6965351279273974e-05,4.556792681296186e-13,0.00023650316342233434,2.5414368957712695e+44
5.7176277331282094e-05,4.656584984745234e-13,0.000281328569931717,2.5970935519720783e+44
5.775645272787944e-05,4.781326232170998e-13,0.00033464991805835244,2.666664856459761e+44
5.804715880938203e-05,4.932655734377693e-13,0.000398077478173099,2.7510650937642184e+44
5.848428341786108e-05,5.087227707863541e-13,0.00047352672173975975,2.8372737381896408e+44
5.8966737517317885e-05,5.26814440473687e-13,0.0005632761673196362,2.938175491917118e+44
5.96767068900118e-05,5.486139330413192e-13,0.0006700361903644813,3.059756698631462e+44
6.054286554066026e-05,5.729375465281505e-13,0.0007970308748095792,3.1954155572932077e+44
6.121141670077573e-05,6.019096909637529e-13,0.0009480953783319636,3.3570004325065403e+44
6.21688591033866e-05,6.357530773540044e-13,0.001127791751642233,3.545753439135804e+44
6.334026114300822e-05,6.75603116024931e-13,0.0013415467094776623,3.768007043805673e+44
6.462735722503078e-05,7.228949173362902e-13,0.00159581551389224,4.031765215004176e+44
6.61412232461327e-05,7.789864597671247e-13,0.0018982769190129063,4.344601737515853e+44
6.78320485184628e-05,8.458172177056238e-13,0.0022580650644686145,4.717333543895017e+44
6.979150475656406e-05,9.262903215567307e-13,0.00268604532052416,5.1661521167383725e+44
7.19585549163205e-05,1.0231172477672158e-12,0.0031951424152641536,5.706180036815446e+44
7.44497986111934e-05,1.1403227673612723e-12,0.003800730753056599,6.359864456487446e+44
7.7302276128424e-05,1.2823338394440948e-12,0.004521098711662832,7.151895631577956e+44
8.04455425601378e-05,1.456327829275377e-12,0.005378000939467005,8.122303519470594e+44
8.400394593224187e-05,1.6685283019570685e-12,0.006397315331845659,9.305798496578888e+44
8.798954264318725e-05,1.9288180026171267e-12,0.007609824526940771,1.0757499099854992e+45
9.241594358141561e-05,2.2498637326707447e-12,0.009052145521506245,1.2548051243783985e+45
9.736897564165698e-05,2.6473095793708604e-12,0.010767835480625489,1.476470591033121e+45
0.00010284654428307748,3.1409273497609893e-12,0.012808707136042733,1.7517735406930476e+45
0.0001089276424894299,3.756050596248066e-12,0.015236393497292135,2.0948431286160983e+45
0.00011556382812117339,4.520511372853529e-12,0.01812420912888873,2.5212019872301345e+45
0.00012294669919022918,5.479584791906919e-12,0.02155936420295709,3.0561011787151463e+45
0.00013099652333684912,6.679072572787325e-12,0.025645598190261874,3.725085468217384e+45
0.00013984187244130852,8.187693042318125e-12,0.03050631272540718,4.566480786665041e+45
0.00014956139478208383,1.0088347853223972e-11,0.036288298256724166,5.626523462514075e+45
0.00016014057727513332,1.2480634789402341e-11,0.043166167023268504,6.960761677174892e+45
0.0001717082416764232,1.5504919210753866e-11,0.05134762623197514,8.647480713302334e+45
0.00018428902058146025,1.9323733339731663e-11,0.06107975068153249,1.0777328874897632e+46
0.00019799306144958377,2.415891744826594e-11,0.07265644426216758,1.3474032060268234e+46
0.00021290389194909446,3.028360978054288e-11,0.08642731566384121,1.6889926348360043e+46
0.00022911640596907394,3.805052662348103e-11,0.10280823633350808,2.1221730511652696e+46
0.0002467353198413507,4.790653868774312e-11,0.12229389952496629,2.6718675643890074e+46
0.0002658388132736899,6.042068691035937e-11,0.1454727597165111,3.369813029759755e+46
0.00028656525826943336,7.631884056625721e-11,0.17304480355716734,4.25649302158318e+46
0.0003090299044630318,9.652475795139259e-11,0.20584268901265668,5.38342789565642e+46
0.00033338906801665255,1.2222070814117586e-10,0.24485689109966577,6.816555824746956e+46
0.00035978314434701705,1.5491315618638377e-10,0.29126561359343855,8.639896238788654e+46
0.0003883595580820727,1.965119108647068e-10,0.34647037002291736,1.0959964111606392e+47
0.0004193187122431695,2.494673940163233e-10,0.4121383084766571,1.3913425844400445e+47
0.00045284265250453517,3.168943799077104e-10,0.4902525584013634,1.76740005622794e+47
0.0004891130749770102,4.0274776906366145e-10,0.5831721198338807,2.246226352496732e+47
0.000528376109108758,5.12109296652456e-10,0.6937031036829561,2.8561636671679373e+47
0.0005708611189240758,6.514159982652938e-10,0.825183474471413,3.6331130873343298e+47
0.0006168294852234199,8.289046557952448e-10,0.9815838547147441,4.623013401805503e+47
0.0006665624707609078,1.0550602282733263e-09,1.1676274351638725,5.884342145406108e+47
0.0007203673035560742,1.343256815064832e-09,1.3889326121236554,7.4916904618349e+47
0.0007785621055653307,1.7105382451308227e-09,1.6521826594027476,9.540116721303699e+47
0.0008415145748649625,2.178645525317196e-09,1.9653275588780277,1.2150876971614408e+48
0.00090960033552548,2.7752891715064668e-09,2.3378240848271994,1.5478521219653025e+48
0.0009832343515539757,3.5358007364180947e-09,2.780921392420785,1.9720104674929744e+48
0.0010628737108913412,4.5052338627481715e-09,3.308000734963385,2.5126906239546267e+48
0.0011489948094880321,5.741024895269577e-09,3.9349795691250153,3.2019267995122064e+48
0.0012421315571357915,7.316408075178237e-09,4.680792251880383,4.080564348069614e+48
0.0013428472329425484,9.32475051225787e-09,5.567961845894746,5.2006776246916954e+48
0.0014517554495857637,1.188509906245448e-08,6.6232803015099835,6.62866381811383e+48
0.00156952692749307,1.514925952909899e-08,7.878617556388887,8.449191499451648e+48
0.0016968730444866368,1.9310718173366362e-08,9.371883987106376,1.077017682374537e+49
0.0018345726012603156,2.4616213829998796e-08,11.148175278105631,1.3729238269593848e+49
0.0019834679257454708,3.138035737315404e-08,13.261134282322105,1.7501851304540232e+49
0.0021444641423226767,4.000422771358986e-08,15.774571000794717,2.2311721376286884e+49
0.0023185456064408433,5.0999165451884535e-08,18.764389603597195,2.8444056542310093e+49
0.002506769851420109,6.501713673729566e-08,22.320880686888184,3.626250563370712e+49
0.0027102889939198166,8.288935515272173e-08,26.55144799076199,4.623070387805221e+49
0.002930338708695786,1.0567541925939564e-07,31.583851923022284,5.893968599947513e+49
0.0031682629525556887,1.3472636915436895e-07,37.57006784121473,7.514306627003405e+49
0.0034255089391039446,1.7176442601107444e-07,44.69087561053897,9.580152901620676e+49
0.0037036437525587228,2.189851551743009e-07,53.16131903934575,1.2213983426196134e+50
0.004004359540429853,2.7918735306788035e-07,63.23720006364327,1.5571929907596133e+50
0.004329485086035675,3.5593870867493647e-07,75.22280380081676,1.9853025150914505e+50
0.004680996973449353,4.537868018156986e-07,89.48008776418551,2.531098003705608e+50
0.005061030186448948,5.785279004339375e-07,106.43961274678495,3.2269188659726994e+50
0.0054718913056518185,7.375493737619451e-07,126.6135454800046,4.11398460619197e+50
0.005916070462759687,9.402657374136783e-07,150.61112573900536,5.2448298361299934e+50
0.0063962587800052905,1.1986738179267759e-06,179.15706499154192,6.686405193884851e+50
0.006915358906139635,1.5280593940543534e-06,213.1134322175157,8.524025410187069e+50
0.007476505173393802,1.9478965971955086e-06,253.50568783695033,1.0866395929855596e+51
0.008083077449016806,2.482991285755931e-06,301.55365195420063,1.3852005472361173e+51
0.008738722815543056,3.1649363762971356e-06,358.70834213945085,1.7657266314279032e+51
0.009447371260433655,4.033959292166644e-06,426.6957932248084,2.250685329166059e+51
0.01021325717331969,5.141269982475957e-06,507.56918244450736,2.8686852282834172e+51
0.011040939384469161,6.55204060810003e-06,603.7708340650416,3.6561458137520704e+51
0.011935321888842873,8.349183732076529e-06,718.2059760049673,4.659416572174311e+51
0.012901676168332024,1.0638139712791345e-05,854.3304758468583,5.937464889375052e+51
0.013945661301302302,1.3552934070351099e-05,1016.2552058125322,7.565281118173906e+51
0.015073345169675926,1.726383217650357e-05,1208.8701884564475,9.63818777007933e+51
0.016291223850397524,2.1986996604883616e-05,1437.992272197322,1.2277285419717238e+52
0.017606238996351133,2.7996646553621234e-05,1710.5407963939742,1.5636323545674018e+52
0.01902579127492073,3.5640331943788785e-05,2034.74655093739,1.9910352334833503e+52
0.020557751017779173,4.535806980172282e-05,2420.4003408042613,2.5346593650118884e+52
0.022210459659223625,5.7706233627836565e-05,2879.1486620613896,3.225805922161016e+52
0.023992724911169026,7.338726691254073e-05,3424.84541854573,4.104055944837913e+52
0.02591380264692048,9.328645640785667e-05,4073.970300837254,5.219385912854e+52
0.027983363275721852,0.00011851718592037833,4846.126462300883,6.634787024147057e+52
0.03021143922892195,0.00015047623676073488,5764.6325216916475,8.429489646427008e+52
0.03260834605279771,0.00019091078910614525,6857.226770423175,1.0702905452949627e+53
0.03518457211250405,0.00024199875368623,8156.904851102049,1.3579406886918815e+53
0.03795062847044238,0.0003064438198143545,9702.916204684127,1.7214061660124895e+53
0.04091685049504883,0.0003875860814985376,11541.949378311305,2.1799426317566506e+53
0.04409314104272346,0.0004895280464460972,13729.541989364969,2.7573464149152724e+53
0.04748864459618518,0.0006172741655873641,16331.757925740916,3.4828584997394883e+53
0.05111134162022442,0.0007768793508330886,19427.182432714017,4.392168535821763e+53
0.05496755254777125,0.000975598170359587,23109.295336731488,5.528488856754912e+53
0.059061344457872894,0.0012220211574741787,27489.29407596446,6.9436421094071595e+53
0.06339383580843178,0.0015261779179161802,32699.4517913209,8.699070076096678e+53
0.06796240399342642,0.0018995786130780658,38897.111890108994,1.0866624709341494e+54
0.07275980878320237,0.0023551565518232552,46269.439715600056,1.3528946157386149e+54
0.07777326219974813,0.002907066442458952,55039.07481984359,1.6779170972864097e+54
0.08298349393687368,0.0035702879957019906,65470.854534748156,2.0719657427736704e+54
0.08836387367539081,0.004359984837426573,77879.81188892902,2.5459369957928817e+54
0.0938797210414427,0.005290586215211423,92640.68940227358,3.11095995867253e+54
0.09948783578205964,0.006374572107115294,110199.25606867729,3.777768625392284e+54
0.10513649473717311,0.0076210125971831865,131085.76929255706,4.555872922233423e+54
0.1107659416019811,0.009033946867348297,155930.98832094177,5.452539729594076e+54
0.11630949645872611,0.010610774265214448,185485.22276648367,6.471644982877603e+54
0.12169540293806101,0.012340897372011618,220640.9914745062,7.612505880593902e+54
0.1268492899184784,0.014204872467196561,262459.97601728723,8.868834786063124e+54
0.131697188369111,0.016174325185573907,312205.0827937605,1.0227994708524357e+55
0.13616887434902863,0.018212798849753194,371378.58198935085,1.167072931080274e+55
0.1402012415403823,0.02027756054417733,441767.47516801464,1.3171499255920367e+55
0.14374137654246316,0.022322215777395526,525497.4615685261,1.469947847218476e+55
0.14674902543917787,0.024299818044484185,625097.1328523826,1.6220158853192525e+55
0.1491982165052789,0.02616605744395704,743574.3349434205,1.7697406732388074e+55
0.15107791883131635,0.027882101565947153,884507.0030374317,1.909573422466138e+55
0.15239174270894174,0.029416744049746677,1052151.2129406426,2.038251358003915e+55
0.15315680874786522,0.03074766709688599,1251569.711817899,2.152988375330964e+55
0.15340198446816156,0.03186178945176726,1488784.809896244,2.2516159697604175e+55
0.15316572773173032,0.03275481682223137,1770960.2503550288,2.3326645795293124e+55
0.15249376833953318,0.03343020231800275,2106617.549755983,2.3953846875752976e+55
0.15143682032566097,0.033897753635401096,2505893.342354921,2.4397144444764406e+55
0.15004847169299135,0.03417210850971526,2980845.4999276507,2.466205775471876e+55
0.14838333961350095,0.0342712500292013,3545817.2717314633,2.475922808683546e+55
0.1464955383871594,0.03421517805138024,4217870.441394635,2.470326442133562e+55
0.1444374658385191,0.03402479727646364,5017300.581793221,2.4511567775225864e+55
0.14225889439551698,0.03372104192406583,5968249.968279967,2.4203226033888307e+55
0.14000633092553919,0.033324226212954895,7099436.659850856,2.3798039376937826e+55
0.13772260604664233,0.032853594386653855,8445021.766030353,2.3315710603497316e+55
0.1354466489021347,0.03232703651474267,10045641.090376934,2.277521202199347e+55
0.13321340157792205,0.03176093366617879,11949632.3055785,2.2194322117251135e+55
0.13105383582231464,0.031170101115650665,14214494.720034575,2.1589316986857336e+55
0.12899503073077512,0.03056779896371618,16908625.719936606,2.0974791050755613e+55
0.12706028470914182,0.02996578825720682,20113386.326278612,2.0363583522586074e+55
0.12526923215984218,0.029374411645268973,23925558.24528879,1.9766783044094034e+55
0.12363794608327214,0.028802684065285675,28460266.613623887,1.919378751251739e+55
0.12217901380093324,0.028258381561803554,33854456.703347705,1.8652398100644543e+55
0.12090157840489409,0.027748119575311335,40271029.58094553,1.81489301219613e+55
0.11981134835041642,0.027277414493832815,47903761.61461264,1.7688326846515584e+55
0.11891058595950108,0.026850725996123145,56983156.39576841,1.7274267224739578e+55
0.11819809044568495,0.026471478572343353,67783405.79905723,1.6909260156787287e+55
0.11766920718418779,0.02614206650041661,80630670.40036553,1.6594724761121735e+55
0.11731588971439749,0.025863846274867826,95912929.31614254,1.633105596484883e+55
0.11712685054846997,0.025637126292884786,114091696.92283311,1.6117680987219447e+55
0.11708783007605046,0.02546116461856072,135715960.29379958,1.5953113441772014e+55
0.1171819994850471,0.025334186319256977,161438758.25535172,1.583501288748801e+55
0.1173905028902607,0.025253432183435762,192036902.73870248,1.576025890171242e+55
0.11769311527046114,0.02521524614002263,228434437.99996743,1.5725045536275905e+55
0.11806898039720261,0.025215204885269994,271730546.16155356,1.5725000133976825e+55
0.11849739445722325,0.0252482870221658,323232741.80431145,1.5755325986552726e+55
0.11895853013317764,0.0253090730998648,384496358.0657433,1.5810964245454447e+55
0.11943409007602207,0.025391960075856385,457371516.6990189,1.588676400066088e+55
0.11990782162534414,0.02549137560930041,544059000.5583165,1.5977651112319234e+55
0.12036587324693838,0.025601975999642305,647176715.8235631,1.6078784521912348e+55
0.12079698561374516,0.025718814689481177,769838751.0809693,1.61856904955332e+55
0.12119252363361437,0.02583747130289945,915749420.7926334,1.6294366739783362e+55
0.12154638006142315,0.025954139090700813,1089315133.207472,1.6401354687078193e+55
0.12185477581866791,0.026065670005913595,1295777461.0523272,1.6503778306647675e+55
0.12211599215444856,0.026169582416642995,1541371433.652362,1.6599352777054903e+55
0.12233006612610883,0.02626403836833169,1833513830.8009167,1.6686367905053682e+55
0.12249847195725444,0.026347796904351187,2181027164.7323527,1.6763650779704525e+55
