Radius_km,Mass_sol,Central_Pressure_MeV_fm3,Particles_fm_3
0.006164796569694436,5.313828954302306e-13,1.301489262890043e-10,5.927309796262112e+45
0.006164796569694436,5.424431965091276e-13,1.5481658165243809e-10,6.05068190985985e+45
0.006164796569694436,5.517878652335963e-13,1.8415959806939552e-10,6.154917004653965e+45
0.006164796569694436,5.600867547820344e-13,2.1906411573676974e-10,6.247486957026913e+45
0.006164796569694436,5.676930474846366e-13,2.6058422860724133e-10,6.332331338808565e+45
0.006164796569694436,5.748162503529421e-13,3.0997381734773054e-10,6.411787095678874e+45
0.006164796569694436,5.815910034064644e-13,3.687244157279508e-10,6.487356069555301e+45
0.006164796569694436,5.881090058888596e-13,4.3861025397961264e-10,6.560061119528532e+45
0.006164796569694436,5.944355188083937e-13,5.217418394067002e-10,6.630630199427773e+45
0.031896866872608905,4.198600462477866e-12,6.206296923467222e-10,4.683328324404087e+46
0.0316746669295104,8.662744330522091e-11,7.382601622679873e-10,9.662857007368359e+47
0.03151494881103602,9.40897193060522e-11,8.781856136001083e-10,1.0495236484367612e+48
0.03138047149130724,9.639887744015784e-11,1.0446317048518377e-09,1.075281149767046e+48
0.0312599128614113,4.2166479931779727e-10,1.2426250007763989e-09,4.703459503567491e+48
0.031148239778486377,4.1861239153951114e-10,1.4781447713895856e-09,4.669411424290431e+48
0.03104274719441347,4.154068900863309e-10,1.7583035620732339e-09,4.633655661732431e+48
0.03094180223623736,4.122354738943416e-10,2.0915619878646975e-09,4.598280103165295e+48
0.03084433889938755,4.091403918161229e-10,2.4879842385818367e-09,4.563756013375841e+48
0.030749621149119753,4.061338324499903e-10,2.9595420108735027e-09,4.530219350071304e+48
0.03065711916871473,4.0321983540924365e-10,3.52047604574771e-09,4.4977151731122656e+48
0.03275315135401335,1.1312144397670861e-10,4.18772618977804e-09,1.2618129964538584e+48
0.03257094101983058,1.165434031415319e-10,4.981442967559867e-09,1.2999832354464159e+48
0.032297049133995996,1.1768908215505284e-10,5.925596114574745e-09,1.3127627104953076e+48
0.03204612078120665,1.1809215385409353e-10,7.048698447763866e-09,1.3172587732333285e+48
0.03182496517506337,4.605792751101853e-10,8.384666934235417e-09,5.1375309808964013e+48
0.031629440144129925,1.1035786844701783e-10,9.973846961826576e-09,1.230986701169537e+48
0.03822628669031287,1.830830320124807e-10,1.1864230743830635e-08,2.0421994472958194e+48
0.042701349109737954,2.4766264487221496e-10,1.4112906652928861e-08,2.7625526598518587e+48
0.046104501334248114,3.0770679866630695e-10,1.678778325327606e-08,3.4323151009783755e+48
0.04908998349786683,3.6866912168672905e-10,1.9969640095400746e-08,4.1123192606961565e+48
0.051840922034647484,4.3211859399645667e-10,2.375456720660339e-08,4.8200663252701184e+48
0.054439747417824605,4.988552579634859e-10,2.8256866947892684e-08,5.564480366434046e+48
0.056932743275375196,5.694369647430361e-10,3.36125058716689e-08,6.351783934363525e+48
0.05934973797243707,6.443392515687417e-10,3.99832208240351e-08,7.187281408721172e+48
0.061158521544667103,7.067603793837975e-10,4.756140329338018e-08,7.883557809758829e+48
0.061158521544667103,7.150003087625136e-10,5.657590950941446e-08,7.975470092665778e+48
0.061158521544667103,7.229434169818544e-10,6.7298971753909e-08,8.06407148415182e+48
0.061158521544667103,7.306648095421495e-10,8.005441960026736e-08,8.150199748409464e+48
0.14326030743178483,1.4002673837958484e-08,9.522745935807559e-08,1.5619281131352879e+50
0.11855366404053938,2.046805608775281e-08,1.1327630705555404e-07,2.283109414670384e+50
0.11753276850694704,1.9965508900802364e-08,1.3474602626848255e-07,2.227052779571419e+50
0.11709969469095641,9.547501620474095e-09,1.6028498868913612e-07,1.064976030246435e+50
0.1251318775089893,1.1898160421218357e-08,1.9066445453379317e-07,1.3271802752732338e+50
0.14096176494057666,1.630500038201979e-08,2.2680186410452752e-07,1.8187412757598638e+50
0.14070992084239775,1.69318941579141e-08,2.6978854389542827e-07,1.888668145407797e+50
0.14047438250016192,1.729544779491037e-08,3.2092266394984376e-07,1.9292207382727474e+50
0.1402507847433169,1.7563149442227085e-08,3.8174844175957785e-07,1.9590815203886584e+50
0.21928520694255893,2.4881621054152622e-08,4.5410277663855266e-07,2.7754204911490384e+50
0.21702974803088293,7.670770968154038e-08,5.401707228990139e-07,8.556362127469815e+50
0.1968034013710619,5.6914083288884894e-08,6.425514770844277e-07,6.348482422121798e+50
0.15592345661447496,2.579374234533943e-08,7.643368720310437e-07,2.8771632323089173e+50
0.15515150765198216,2.786595229723893e-08,9.092047482281957e-07,3.1083079328324302e+50
0.15427670263941518,2.8505906701470164e-08,1.081530022232294e-06,3.179691661503673e+50
0.23871001573099435,3.865596592797154e-08,1.2865168063290944e-06,4.3118801973671486e+50
0.2119957362000802,7.77883325534615e-08,1.5303555693729165e-06,8.676901683799417e+50
0.22687549484876304,1.0077697860519481e-07,1.820410084958981e-06,1.124117155414793e+51
0.22530717965091723,1.3176037848301805e-07,2.1654398126432077e-06,1.4697217595283884e+51
0.23694150916079554,9.726422262015635e-08,2.5758644279791053e-06,1.0849341727473774e+51
0.24049455657700317,1.8099074823417845e-07,3.0640784900085103e-06,2.0188623802895234e+51
0.2837838449803941,1.5178221185573023e-07,3.6448257489617407e-06,1.6930556091012213e+51
0.2899839011031883,3.0757928328181405e-07,4.3356443980185356e-06,3.4308958364969963e+51
0.2485892310892017,2.5114720269326935e-07,5.157396715446313e-06,2.8014238381256645e+51
