Radius_km,Mass_sol,Central_Pressure_MeV_fm3,Particles_fm_3
0.00011548682244744255,2.258535782035845e-14,3.1248757201989955e-07,3.598976337166032e+43
0.00011548682244744255,2.3054541491855794e-14,3.717146125475041e-07,3.6737407462602727e+43
9.445314769557863e-05,1.5253557307131938e-14,4.4216719496461545e-07,2.4306540654917607e+43
0.00010134877103061718,1.7594915336376076e-14,5.259729418839824e-07,2.803749422780441e+43
0.00011548682244744255,2.1682279687714026e-14,6.256627328859896e-07,3.455070854215266e+43
0.00011548682244744255,2.331740103865645e-14,7.442471354519017e-07,3.715627410296209e+43
0.00011548682244744255,2.3934459061344033e-14,8.853073221628106e-07,3.813955594442698e+43
0.00011548682244744255,2.4383427082042702e-14,1.0531032198050509e-06,3.8854986399782983e+43
0.00017026567044532167,3.0808454159684194e-14,1.252702156415483e-06,4.90932658224124e+43
0.00016937524532538185,7.183341390182242e-14,1.4901318913244813e-06,1.1446653134737915e+44
0.00016891324677739626,6.837649319169267e-14,1.772562649605439e-06,1.0895792886763906e+44
0.0001685587536099445,7.326492534812801e-14,2.108523658253862e-06,1.1674764457880387e+44
0.00014181682578951024,6.244832568704159e-14,2.5081607233492693e-06,9.95113950823463e+43
0.00017377566977507046,9.673197468075732e-14,2.9835426268641305e-06,1.541423832317475e+44
0.00018703529052047438,7.609857994527547e-14,3.5490255961064203e-06,1.2126307264747513e+44
0.00018788329985246766,1.264016312154425e-13,4.221686852537856e-06,2.014209753017319e+44
0.00018849178552422208,1.3146554498535032e-13,5.0218403328631225e-06,2.0949032094351076e+44
0.00017748420311006482,1.4698060846270003e-13,5.973650156835008e-06,2.3421357166035746e+44
0.00027087702273467215,2.721184984215927e-13,7.1058603681073295e-06,4.3362077569304915e+44
0.00027503600856543177,2.8987536616519243e-13,8.452662985840206e-06,4.619163410985525e+44
0.00028081255811696337,3.09372651072774e-13,1.0054730581657102e-05,4.9298526092995436e+44
0.00023159201387643928,3.755636763768678e-13,1.196044456511125e-05,5.984606473909483e+44
0.00027780300846491987,5.101897601149983e-13,1.4227356271094064e-05,8.129872866832605e+44
0.0002864078838303422,6.773505359125209e-13,1.692392497308109e-05,1.0793579517847293e+45
0.00034876540894149987,6.800516710943129e-13,2.013158530909938e-05,1.083662210186836e+45
0.000359711333464324,1.1772227946902817e-12,2.394720655534563e-05,1.8759043035569106e+45
0.00032911237008728233,1.1710532478858124e-12,2.8486018015937437e-05,1.8660731327057922e+45
0.00039412978456036644,1.7733708322029353e-12,3.388508887368201e-05,2.8258660937002468e+45
0.00039687897278752217,1.867042517759102e-12,4.030746759111569e-05,2.9751319084396504e+45
0.0003897444797812572,2.208416638239876e-12,4.7947105869057234e-05,3.5191115082058444e+45
0.0004130942247767333,2.659789130489534e-12,5.703471586305502e-05,4.238373494414554e+45
0.00045182595595451834,3.6140709841678337e-12,6.784473754189039e-05,5.759021462158166e+45
0.00046652809408047243,4.034575422805487e-12,8.070362659787678e-05,6.42909521435017e+45
0.0005473315058005109,6.0291195761659464e-12,9.599971319850796e-05,9.607400988290221e+45
0.0005953625679614063,7.780406070771033e-12,0.00011419492930740521,1.239807573411689e+46
0.0006284064929249659,9.690628866511194e-12,0.0001358387587321037,1.5442015459964555e+46
0.0007015463338141738,1.3057479036226469e-11,0.00016158483118113465,2.0807090698317668e+46
0.0007847125826836367,1.5573536314921825e-11,0.0001922106614602429,2.4816427615032387e+46
0.0007939846927392496,2.004592155817039e-11,0.00022864112991874018,3.194317289628565e+46
0.0008531612988742615,2.5300658579275476e-11,0.0002719764132403849,4.0316595681883807e+46
0.0009140218901194763,3.217102916301608e-11,0.0003235252090706256,5.126453042702519e+46
