e_c_qm,e_c_dm,p_c_qm,p_c_dm,R_quark_km,R_dm_km,R_total_km,M_quark_sol,M_dm_sol,M_total_sol,N_quark,N_dm,N_total
262.1942728832385,3.0003607615870806,0.38867283647354506,0.9999999999966759,1.4078563031968117,1360489.4864087016,1360489.4864087016,0.0027474900350763555,129275.36797074425,129275.37071823701,3.543879129753106e+54,1.396452017012926e+65,1.396452017048365e+65
262.1942728832385,3.2171752358689347,0.38867283647354506,1.0722672220069187,1.406724491719935,1360508.1994002133,1360508.1994002133,0.00274087950549283,129268.62901833488,129268.63175925183,3.535347559059865e+54,1.3963633944926694e+65,1.3963633945280232e+65
262.1942728832385,3.4496578190181304,0.38867283647354506,1.1497569953942521,1.4055161055029577,1360602.1911372025,1360602.1911372025,0.0027338206584713574,129262.27391191399,129262.27664575954,3.52623741025835e+54,1.3962798207682506e+65,1.3962798208035133e+65
262.1942728832385,3.6989407850187397,0.38867283647354506,1.2328467394385048,1.4042239312241696,1360633.5305198065,1360633.5305198065,0.0027262852953792494,129256.30948404799,129256.31221034755,3.516512294646386e+54,1.3962013855121496e+65,1.396201385547315e+65
262.1942728832385,3.9662382335567554,0.38867283647354506,1.3219411484623913,1.402842800738525,1361077.0407774844,1361077.0407774844,0.0027182437633125034,129250.74055577841,129250.74327402681,3.506133947340783e+54,1.39612815192315e+65,1.3961281519582112e+65
262.1942728832385,4.252852003315212,0.38867283647354506,1.4174741629230931,1.4013660235894263,1360568.0121111586,1360568.0121111586,0.0027096649275335912,129245.57006920628,129245.57277888778,3.495062191799695e+54,1.3960601586043976e+65,1.3960601586393486e+65
262.1942728832385,4.560178012605607,0.38867283647354506,1.519911082949149,1.3997857127949749,1360801.875132444,1360801.875132444,0.002700516151669455,129240.79932541015,129240.802026008,3.483254914371341e+54,1.3959974227244233e+65,1.3959974227592569e+65
262.1942728832385,4.8897130582191055,0.38867283647354506,1.629750834616789,1.3980988024495697,1360732.3989321198,1360732.3989321198,0.0026907632853901678,129236.42759759646,129236.43028836536,3.470668048505484e+54,1.395939934423778e+65,1.3959399344584848e+65
262.1942728832385,5.243062105610489,0.38867283647354506,1.7475284000037625,1.3962962097011915,1360648.873079182,1360648.873079182,0.0026803706662266178,129232.45282921822,129232.45550964761,3.457255577227006e+54,1.3958876665803743e+65,1.3958876666149478e+65
262.1942728832385,5.621946105922577,0.38867283647354506,1.8738174228563997,1.3943715384466244,1360778.927863768,1360778.927863768,0.00266930112910112,129228.87130190687,129228.87397127385,3.442969545577287e+54,1.3958405701872008e+65,1.3958405702216314e+65
262.1942728832385,6.028210377924782,0.38867283647354506,2.009233002561005,1.3923178452357556,1360835.2586530785,1360835.2586530785,0.0026575160350820097,129225.6779504277,129225.68060794818,3.427760097874343e+54,1.395798578648281e+65,1.3957985786825584e+65
262.1942728832385,6.4638335956900965,0.38867283647354506,2.1544346900277853,1.390122274348373,1360710.2560955896,1360710.2560955896,0.002644975314450776,129222.86622689005,129222.8688718914,3.411575533463844e+54,1.3957616056534172e+65,1.3957616056875333e+65
262.1942728832385,6.930937425785332,0.38867283647354506,2.3101297000790106,1.3877829884044077,1360717.5169575505,1360717.5169575505,0.0026316375288882622,129220.42839970179,129220.43103136691,3.39436238715216e+54,1.3957295493458515e+65,1.3957295493797955e+65
262.1942728832385,7.431796860913568,0.38867283647354506,2.477076355987515,1.3852853592078043,1360895.8537011445,1360895.8537011445,0.0026174599572924705,129218.35569029371,129218.35830777121,3.3760655401605164e+54,1.3957022944428699e+65,1.3957022944766308e+65
262.1942728832385,7.968851300339451,0.38867283647354506,2.6560877829424516,1.3826238268138769,1360873.7767284438,1360873.7767284438,0.0026023987043275083,129216.638017252,129216.6406196604,3.356628360418357e+54,1.3956797081649798e+65,1.3956797081985462e+65
262.1942728832385,8.544716431064513,0.38867283647354506,2.848035868431534,1.3797861336454194,1360844.8718310215,1360844.8718310215,0.0025864088376659523,129215.26462972382,129215.2672161463,3.335992879909731e+54,1.3956616491218887e+65,1.3956616491552489e+65
262.1942728832385,9.16219696762156,0.38867283647354506,3.0538555088291237,1.3767641811376787,1360905.3157325268,1360905.3157325268,0.0025694445547994786,129214.22365650219,129214.22622594904,3.314100010185109e+54,1.3956479611930227e+65,1.3956479612261637e+65
262.1942728832385,9.824300312536874,0.38867283647354506,3.274549162873418,1.373543194480576,1360917.0714735673,1360917.0714735673,0.0025514593837821296,129213.5024684838,129213.50501994583,3.2908898016789706e+54,1.3956384780171271e+65,1.395638478050036e+65
262.1942728832385,10.534251203995625,0.38867283647354506,3.5111917342108105,1.3701156293663848,1360965.8656735073,1360965.8656735073,0.002532406419636192,129213.08789477349,129213.0904272187,3.266301749055865e+54,1.3956330265866807e+65,1.3956330266193442e+65
262.1942728832385,11.295507422051537,0.38867283647354506,3.7649358067881504,1.366468780498884,1361055.6177283854,1361055.6177283854,0.00251223860052989,129212.96608303247,129212.96859530926,3.2402751478922384e+54,1.395631424674538e+65,1.3956314247069412e+65
262.1942728832385,12.11177662988003,0.38867283647354506,4.037017258592245,1.362590281310173,1360891.015278875,1360891.015278875,0.0024909090254316537,129213.12259090086,129213.12508187864,3.2127495048825456e+54,1.3956334822485454e+65,1.3956334822806737e+65
262.1942728832385,12.987034432100192,0.38867283647354506,4.328761281078771,1.3584683276228016,1361047.98921144,1361047.98921144,0.002468371315538297,129213.54282337261,129213.54529174934,3.1836650045339315e+54,1.395639007450663e+65,1.3956390074824998e+65
262.1942728832385,13.925543738120693,0.38867283647354506,4.641588833608525,1.3540892294028324,1361019.3671138324,1361019.3671138324,0.002444580014395021,129214.21145754588,129214.2139021452,3.1529630257609724e+54,1.3956477987336002e+65,1.39564779876513e+65
262.1942728832385,14.931875524819093,0.38867283647354506,4.9770235643279035,1.349441024724376,1361678.8648796438,1361678.8648796438,0.002419491076979916,129215.11318853681,129215.11560804387,3.120586773369623e+54,1.3956596548565995e+65,1.3956596548878055e+65
262.1942728832385,16.010931099681155,0.38867283647354506,5.3366992312021635,1.34450997356164,1361187.3839387703,1361187.3839387703,0.00239306232234895,129216.23247697632,129216.2348700434,3.086481862298609e+54,1.3956743716068452e+65,1.39567437163771e+65
262.1942728832385,17.16796597283408,0.38867283647354506,5.722367659346146,1.3392818579107235,1361250.7437297585,1361250.7437297585,0.0023652540186622833,129217.55342075176,129217.55578601912,3.050597072845077e+54,1.3956917395819176e+65,1.3956917396124235e+65
262.1942728832385,18.408615454243343,0.38867283647354506,6.135907273409196,1.3337427124621641,1361360.0809458296,1361360.0809458296,0.002336029472413545,129219.06055299706,129219.06288903693,3.0128851111736224e+54,1.3957115557295257e+65,1.3957115557596546e+65
262.1942728832385,19.738922100746805,0.38867283647354506,6.579332246571815,1.3278792653291498,1361178.751846818,1361178.751846818,0.0023053556699996693,129220.73800250814,129220.74030793052,2.9733034373241162e+54,1.395733611248101e+65,1.3957336112778346e+65
262.1942728832385,21.165365146607517,0.38867283647354506,7.054802310714907,1.321679290895768,1361282.6734896135,1361282.6734896135,0.002273203957734641,129222.57017761513,129222.57245082948,2.9318151427538545e+54,1.395757701006408e+65,1.3957577010357263e+65
262.1942728832385,22.694892060929707,0.38867283647354506,7.564633275542703,1.3151228731348885,1361285.278237525,1361285.278237525,0.002239550758253002,129224.54164657992,129224.54388615063,2.8883898747451857e+54,1.3957836223776095e+65,1.3957836224064937e+65
262.1942728832385,24.334952385639575,0.38867283647354506,8.111308307893452,1.3082013987349685,1361266.1907802771,1361266.1907802771,0.0022043783087765047,129226.63695989114,129226.63916428386,2.8430047889149135e+54,1.395811171880668e+65,1.3958111719090982e+65
262.1942728832385,26.093534018841066,0.38867283647354506,8.697490026174611,1.3009003838027482,1361307.004113152,1361307.004113152,0.0021676754195854046,129228.8412603523,129228.84342807431,2.7956455276764425e+54,1.3958401543936862e+65,1.3958401544216432e+65
262.1942728832385,27.97920212026734,0.38867283647354506,9.326033468829202,1.2932059675420355,1361343.0468222199,1361343.0468222199,0.0021294382344387817,129231.13985164814,129231.1419811389,2.7463072010717002e+54,1.3958703766637215e+65,1.3958703766911854e+65
262.1942728832385,30.00114082831903,0.38867283647354506,9.999999999997252,1.2851057872298128,1361838.657774183,1361838.657774183,0.002089670983670724,129233.51827752245,129233.52036721334,2.6949953579943037e+54,1.3959016484910987e+65,1.3959016485180488e+65
262.1942728832385,32.169197991875194,0.38867283647354506,10.72267222010076,1.2765859027215674,1361402.154970334,1361402.154970334,0.0020483867111492945,129235.96263748233,129235.9646858905,2.641726923518971e+54,1.3959337873542633e+65,1.3959337873806807e+65
262.1942728832385,34.49393313474568,0.38867283647354506,11.497569953975194,1.2676362466996502,1361723.543548877,1361723.543548877,0.0020056079588948125,129238.45946044943,129238.46146610215,2.5865310814108524e+54,1.3959666160107523e+65,1.3959666160366183e+65
262.1942728832385,36.986668886379285,0.38867283647354506,12.328467394418839,1.258246777046217,1361482.541147154,1361482.541147154,0.0019613673900426907,129240.99547006207,129240.99743143277,2.5294500768931703e+54,1.3959999598874923e+65,1.395999959912787e+65
262.1942728832385,39.659546129323836,0.38867283647354506,13.219411484658856,1.2484060105961783,1361538.7548224404,1361538.7548224404,0.0019157083301999905,129243.55821253672,129243.56012827458,2.470539913921075e+54,1.3960336551991673e+65,1.3960336552238732e+65
262.1942728832385,42.525583132038236,0.38867283647354506,14.174741629267029,1.2381069543750598,1361533.7585051141,1361533.7585051141,0.0018686852039580693,129246.13574027058,129246.13760896111,2.409870916988757e+54,1.3960675450030684e+65,1.3960675450271673e+65
262.1942728832385,45.59873895506562,0.38867283647354506,15.199110829528758,1.2273414954196757,1361609.7389726317,1361609.7389726317,0.0018203638481944992,129248.71645046408,129248.71827083318,2.3475281337790142e+54,1.3961014766580655e+65,1.396101476681541e+65
262.1942728832385,48.89398143939255,0.38867283647354506,16.297508346206378,1.2161047669395544,1362144.4184600161,1362144.4184600161,0.0017708216795346778,129251.28937219986,129251.29114305964,2.2836115494783317e+54,1.3961353059358758e+65,1.3961353059587124e+65
262.1942728832385,52.42736010813358,0.38867283647354506,17.475284000076368,1.2043926233460855,1361714.2750209267,1361714.2750209267,0.00172014769779782,129253.84432565901,129253.84604582592,2.218236089334827e+54,1.3961688991349845e+65,1.396168899157167e+65
