Number Density,Energy Density,Pressure,mu_u,mu_d,mu_s,mu_e
0.2486486608646079,1.004623975749442,0.001541325249813924,282.31806576362357,282.31806576362357,282.31806576362357,0.0
0.24979752244512327,1.0092764597012198,0.0030921532337399534,282.7522072822091,282.7522072822091,282.7522072822091,0.0
0.2509516922502092,1.0139576276169526,0.004652542538984235,283.1870164125452,283.1870164125452,283.1870164125452,0.0
0.25211119480610095,1.018667656341917,0.006222552113972355,283.6224941812686,283.6224941812686,283.6224941812686,0.0
0.25327605475235365,1.0234067238116857,0.0078022412705619085,284.0586416165942,284.0586416165942,284.0586416165942,0.0
0.254446296842368,1.0281750090588613,0.009391669686287093,284.49545974831807,284.49545974831807,284.49545974831807,0.0
0.2556219459439161,1.0329726922198363,0.010990897406612151,284.93294960782015,284.93294960782015,284.93294960782015,0.0
0.25680302703966873,1.0377999545415957,0.01259998484719857,285.371112228066,285.371112228066,285.371112228066,0.0
0.2579895652277291,1.0426569783885737,0.014218992796191262,285.8099486436104,285.8099486436104,285.8099486436104,0.0
0.25918158572216227,1.0475439472495292,0.01584798241650971,286.24945989059836,286.24945989059836,286.24945989059836,0.0
0.26037911385353385,1.052461045744486,0.017487015248162006,286.6896470067684,286.6896470067684,286.6896470067684,0.0
0.26158217506944703,1.057408459631708,0.019136153210569325,287.13051103145494,287.13051103145494,287.13051103145494,0.0
0.26279079493508317,1.0623863758147103,0.020795458604903474,287.5720530055904,287.5720530055904,287.5720530055904,0.0
0.26400499913374725,1.067394982349332,0.022464994116444058,288.0142739717086,288.0142739717086,288.0142739717086,0.0
0.2652248134674102,1.0724344684508271,0.02414482281694238,288.4571749739458,288.4571749739458,288.4571749739458,0.0
0.2664502638572595,1.0775050245010194,0.025835008167006443,288.9007570580443,288.9007570580443,288.9007570580443,0.0
0.2676813763442496,1.0826068420554955,0.027535614018498484,289.34502127135437,289.34502127135437,289.34502127135437,0.0
0.2689181770896544,1.0877401138508356,0.029246704616945195,289.78996866283666,289.78996866283666,289.78996866283666,0.0
0.2701606923756255,1.0929050338119075,0.030968344603969203,290.2356002830656,290.2356002830656,290.2356002830656,0.0
0.27140894860574766,1.0981017970591767,0.032700599019725635,290.68191718423043,290.68191718423043,290.68191718423043,0.0
0.27266297230560177,1.1033305999160874,0.03444353330536246,291.12892042013874,291.12892042013874,291.12892042013874,0.0
0.2739227901233281,1.1085916399164772,0.036197213305492394,291.5766110462186,291.5766110462186,291.5766110462186,0.0
0.27518842883019196,1.1138851158120362,0.03796170527067871,292.02499011952085,292.02499011952085,292.02499011952085,0.0
0.276459915321155,1.119211227579826,0.039737075859942,292.47405869872244,292.47405869872244,292.47405869872244,0.0
