Number Density,Energy Density,Pressure,mu_u,mu_d,mu_s,mu_e
0.25245384610620325,1.04489408825875,3.365197705032872e-11,283.7597304890726,291.2688176469306,291.2688176469306,7.509087157858021
0.25362028924581204,1.0497255276925923,0.001556097327026937,284.1960584923069,291.69422962056365,291.69422962056365,7.498171128256711
0.2547921218442028,1.0545865024905163,0.003121863515921707,284.63305754888324,292.1203266542999,292.1203266542999,7.4872691054166545
0.2559693688029459,1.059477193974846,0.004697358495904112,285.07072868811514,292.54710977710397,292.54710977710397,7.476381088988839
0.257152055138667,1.0643977845392512,0.00628264251885773,285.5090729431814,292.974580012666,292.974580012666,7.465507069484615
0.2583402059835807,1.0693484576993901,0.007877776208986326,285.94809134885213,293.40273838623085,293.40273838623085,7.454647037378709
0.2595338465860213,1.0743293980998083,0.009482820565108007,286.3877849414901,293.83158592459927,293.83158592459927,7.443800983109183
0.26073300231098184,1.0793407915208986,0.011097836962970752,286.8281547590539,294.2611236561319,294.2611236561319,7.432968897077958
0.26193769864065186,1.0843828248858902,0.012722887157576511,287.26920184110014,294.69135261075087,294.69135261075087,7.422150769650709
0.26314796117495987,1.089455686267898,0.014358033285525245,287.7109272287863,295.12227381994387,295.12227381994387,7.411346591157566
0.26436381563211653,1.0945595648969897,0.0160033378673667,288.1533319648726,295.55388831676555,295.55388831676555,7.400556351892922
0.26558528784916097,1.0996946511673187,0.01765886380997121,288.5964170937246,295.98619713584065,295.98619713584065,7.38978004211604
0.26681240378251203,1.1048611366442964,0.01932467440891667,289.04018366131623,296.41920131336747,296.41920131336747,7.379017652051226
0.2680451895085164,1.110059214071799,0.021000833350884502,289.4846327152315,296.8529018871196,296.8529018871196,7.3682691718880955
0.2692836712240052,1.1152890773794273,0.022687404716074437,289.92976530466717,297.2872998964489,297.2872998964489,7.357534591781776
0.2705278752468497,1.1205509216898077,0.024384452980633683,290.3755824804356,297.7223963822885,297.7223963822885,7.346813901852887
0.27177782801652095,1.1258449433259408,0.026092043019099963,290.8220852949665,298.15819238715494,298.15819238715494,7.336107092188461
0.2730335560946517,1.1311713398186003,0.027810240106863424,291.2692748023103,298.5946889551522,298.5946889551522,7.325414152841919
0.27429508616559967,1.1365303099137536,0.029539109922634255,291.71715205813956,299.0318871319723,299.0318871319723,7.314735073832743
0.27556244503701754,1.1419220535800725,0.03127871855094109,292.1657181197531,299.4697879649007,299.4697879649007,7.304069845147622
0.27683565964041884,1.1473467720164356,0.033029132484626085,292.6149740460764,299.9083925028164,299.9083925028164,7.293418456740013
0.2781147570317527,1.152804667659524,0.034790418627372324,293.06492089766556,300.3477017961967,300.3477017961967,7.282780898531165
0.27939976439197794,1.158295944191435,0.03656264429623514,293.5155597367094,300.78771689711857,300.78771689711857,7.2721571604091535
0.2806907090276411,1.1638208065473565,0.038345877224195614,293.9668916270319,301.22843885926227,301.22843885926227,7.261547232230375
0.28198761837145625,1.1693794609232835,0.0401401855627266,294.41891763409456,301.6698687379137,301.6698687379137,7.250951103819146
0.28329051998288773,1.1749721147837797,0.041945637884375525,294.87163882499914,302.11200758996716,302.11200758996716,7.240368764968008
0.284599441548738,1.1805989768698038,0.04376230318536631,295.32505626849064,302.5548564739288,302.5548564739288,7.229800205438152
0.2859144108837322,1.1862602572065486,0.04559025088820776,295.77917103495855,302.9984164499179,302.9984164499179,7.219245414959338
0.28723545593111216,1.1919561671113674,0.047429550844330426,296.2339841964404,303.44268857967097,303.44268857967097,7.208704383230529
0.2885626047632289,1.1976869192017239,0.04928027333673013,296.689496826624,303.8876739265437,303.8876739265437,7.19817709991967
0.2898958855821399,1.2034527274032085,0.05114248908263483,297.14571000085,304.33337355551464,304.33337355551464,7.187663554664635
0.29123532672020774,1.2092538069575829,0.05301626923618121,297.60262479611424,304.77978853318683,304.77978853318683,7.177163737072588
0.292580956640702,1.2150903744308932,0.05490168539111252,298.0602422910703,305.2269199277913,305.2269199277913,7.1666776367209994
0.2939328039384062,1.2209626477216324,0.056798809583494335,298.51856356603275,305.6747688091902,305.6747688091902,7.156205243157444
0.29529089734022235,1.2268708460689284,0.058707714294438225,298.9775897029785,306.123336248878,306.123336248878,7.145746545899499
0.296655265705783,1.2328151900608195,0.06062847245285448,299.4373217855501,306.57262331998623,306.57262331998623,7.135301534436101
0.29802593802806465,1.2387959016425527,0.06256115743821261,299.8977608990583,307.02263109728494,307.02263109728494,7.124870198226636
